O(%),H(%)_squared,protein_polysaccharide_ratio,Chroma,protein(%)_sqrt,H(%)_sqrt,TOC,C_N_ratio,protein(%),COD,P(%),Dry cell weight,electrical conductivity,H_O_interaction,protein(%)_squared,Total photosynthetic pigments_sqrt,phosphate,pH,DO,Total photosynthetic pigments_squared,Algal density（×10^5cells/ml)_log,Total photosynthetic pigments,O_Total photosynthetic pigments_interaction,nitrate nitrogen,TN,protein_Total photosynthetic pigments_interaction,Turbidity,BOD,H(%),Algal density（×10^5cells/ml),polysaccharide(%),S(%),Total photosynthetic pigments_log,protein(%)_log,N conversion rate(%),O(%)_sqrt,protein_H_interaction,N(%),H_Total photosynthetic pigments_interaction,O(%)_squared,protein_O_interaction,ammonia nitrogen,P conversion rate(%),lipid(%)
37.5305,60.839999999999996,0.6588812019762668,58.0,4.076851009050981,2.792848008753788,6.55,17.10152601474099,16.62071415,28.9,0.715917811,22.14,488.0,292.7379,276.24813885601026,0.61451606976547,0.195,9.487499999999999,16.317500000000003,0.1426044169,3.342861804649192,0.37763,14.172642715000002,0.82,1.6,6.276480284464501,11.1,9.0,7.8,27.3,21.7234151175,0.636,0.3203646314576981,2.869075150333681,0.230525512,6.126214165371629,129.64157037,2.61,2.945514,1408.5384302500004,623.7837124065751,0.088,0.319669682,0.341508551
40.17,93.21902499999999,1.8754354633750492,62.0,3.596271024269445,3.1072495876578694,4.24,19.523698585900277,12.93316528,11.997499999999999,0.42,26.39,396.0,387.84135,167.2667641597975,0.40660791925391715,0.018,8.22,7.39,0.0273340089,2.312535423847214,0.16533,6.6413061,0.2,0.8025,2.1382402157424,24.3,2.0,9.655,9.1,6.896085553,0.4065,0.15300430870918905,2.6342719895458444,0.265298955,6.33798075099633,124.8697107784,2.2375,1.59626115,1613.6289000000002,519.5252492976,0.29,0.812205177,13.54468891
38.957,61.31673025,1.4335988367435282,45.0,4.194906193171436,2.798303057211638,4.16,14.246125620394544,17.602849415,11.997499999999999,0.264165454,32.14,179.375,305.0527885,310.2634777653235,1.0156820368599613,0.006,8.85,12.09,1.0642191921,2.8535925063928684,1.03161,40.18843077,1.12,1.64,12.85772689476165,17.8,1.5,7.8305,16.35,13.04592685,0.636,0.7088285821616239,2.922746806067063,0.915768028,6.241554293603477,145.06613218026627,3.23,8.078022104999999,1517.647849,704.6925419180425,0.056,0.39460397,2.427192887
36.0065,45.74493225,1.3463912682694634,75.625,3.8215398100765614,2.60067298982398,5.27,19.45793483274073,14.60416652,23.1,0.237880334,8.59,433.0,243.52996275,213.2816797438889,0.5308012810836086,0.00535,8.91,12.71,0.0793830625,2.094945728215801,0.28175,10.144831375,0.34,0.83,4.11472391701,28.0,9.5,6.7635,7.125,10.84689534,0.537,0.2482263316816729,2.7475379632101298,0.9248777822500001,6.000541642218643,98.77528025801999,2.2375,1.9056161249999999,1296.4680422500003,525.84492180238,0.067,0.21363108,3.569049226
40.5474166675,57.198969,1.9205811688329901,54.5,4.194906193171436,2.750090907588329,7.15,11.243813605697618,17.602849415,27.9,0.442024847,24.1,179.375,316.0842405,310.2634777653235,0.7176071348586216,0.013,9.487499999999999,11.34,0.2651838016,2.6026896854443837,0.51496,21.521980759999998,3.33,3.72,9.8460335675768,8.35,14.0,7.563,12.5,9.299525647,0.702125,0.4153890359725126,2.922746806067063,0.694726565,6.367662571024685,144.60453602529,4.245,3.8946424799999995,1644.140186429317,704.6925419180425,0.11,0.457324437,4.208456553
37.863,24.760576,1.2869669624380111,52.5,4.141362865048172,2.2306949589757896,9.245,18.556444130466076,17.15088638,39.4,0.481760374,6.465,207.0,188.406288,294.1529036196695,0.37317556190082973,0.006,9.07,8.02,0.0193933476,2.0102254309911536,0.13926,5.27280138,0.22,0.97,2.3884324372787997,19.9,9.5,4.976,6.465,13.32659314,0.618,0.1303789288279613,2.89871939588204,0.269515797,6.153291801954463,85.34281062688,2.48,0.69295776,1433.606769,649.38401100594,0.24,0.352419737,11.50799233
39.7225,52.7076,1.5415450268338102,41.5,4.1203654704406985,2.694438717061496,4.72,17.083623813657006,16.97741161,19.6,0.322269616,24.55,508.0,288.38534999999996,288.2325049753628,0.760269688992005,0.00535,8.31,7.48,0.3340955601,2.537261880121928,0.57801,22.960002225,0.68,1.43,9.8131136846961,5.1,12.0,7.26,11.645,11.01324306,0.612,0.45616455953921764,2.8891160592809926,0.655195173,6.302578837269709,123.2560082886,2.81,4.1963526,1577.8770062499998,674.385232678225,0.056,0.5660709,13.12245895
40.422,90.30700900000001,1.9205811688329901,75.625,4.1516571257752,3.0826936273330827,5.31,13.664306125686881,17.23625689,27.8,0.144016372,36.68,427.0,384.13026599999995,297.0885515780725,0.8590576232127854,0.008,8.17,7.56,0.5446144803999999,2.691243082785829,0.73798,29.830627559999996,0.9,2.38,12.7200128596822,27.4,14.0,9.503,13.75,5.652056277,0.583,0.5527235192971268,2.9034117492228013,0.454081565,6.357829818420748,145.06613218026627,2.83,7.01302394,1633.9380839999997,696.72397600758,0.76,0.792574894,13.59825
33.384,64.0,0.5660995664123979,62.0,1.9797492538197863,2.8284271247461903,7.09,11.364374536816173,3.919407108,61.398404255,0.166905207,67.37,567.0,267.072,15.361752078240924,0.8548274679723389,0.077,9.25,16.317500000000003,0.5339663329,3.103589769161023,0.73073,24.39469032,2.78,3.87,2.86402835602884,13.07,13.5,8.0,21.27778,6.923528606,0.6905,0.5485432848252783,1.5931880167386596,0.6020498,5.7778888878205334,31.355256864,4.295,5.84584,1114.491456,130.845486893472,0.54,0.388626887,0.232392516
33.013,46.519220250000004,0.8035184331408602,43.5,2.2087686601362306,2.6116086996332357,3.28,11.46349676396367,4.878658994,17.9,0.156237169,50.16,329.0,225.1651665,23.801313579737094,0.5808614292583042,0.026,8.13,9.15,0.11383875999999998,2.7904832803291533,0.3374,11.138586199999999,4.27,4.56,1.6460595445755999,20.7,1.0,6.8205,15.28889,6.071619504,0.5405,0.2907274306377411,1.7713286736554892,0.574774075,5.745694039887609,33.274893668577,4.315,2.3012367,1089.8581689999999,161.059169368922,0.08,0.805160899,1.33174205
32.555,57.95015625,0.6471692654541611,47.0,2.019922419302286,2.759075932264279,3.82,12.329029076379593,4.08008658,21.9,0.112100083,49.91,481.0,247.8249375,16.647106500296093,0.48900920236739925,0.011,8.2,8.42,0.057183156900000004,2.180041117025632,0.23913,7.78487715,3.93,5.27,0.9756711038754,12.57,5.0,7.6125,7.84667,6.304511278,0.4485,0.2144095204682006,1.6253283047522415,0.563068342,5.7056989054803795,31.059659090249998,3.875,1.820377125,1059.828025,132.82721861189998,1.13,0.878200381,0.22970229949999998
32.0205,66.80610225000001,1.1256258287604335,32.0,2.270488127473914,2.858933367534123,3.64,11.122331959072511,5.155116337,28.0,0.164825898,43.68,541.0,261.71955675,26.575224448004295,0.4551593127686173,0.025,8.5,9.09,0.0429194089,2.097881721658192,0.20717,6.633686985,1.96,2.14,1.0679854515362899,3.88,1.5,8.1735,7.14889,4.579776938,0.4775,0.1882787772680813,1.8172836606763125,0.602928473,5.658665920515188,42.1353433804695,4.455,1.6933039950000002,1025.3124202499998,165.06940266890848,0.07,0.857684036,1.822245062
35.948,60.94924900000001,0.14085120431314907,48.0,1.5795909698399773,2.794100928742554,6.12,19.38899814418683,2.495107632,40.6,0.219909388,6.54,185.1,280.64603600000004,6.225562095264647,0.3072902036338896,0.012,9.17,10.17,0.008965065900000001,1.8784462101957797,0.094515,3.5708791575,0.11,0.8025,0.21138551858304,15.23,2.5,7.807,5.54333,17.71449171,0.44,0.0902979413277338,1.251364171205864,0.36237378,5.995665100720687,19.479305283024,2.365,0.6614090400000001,1292.258704,89.694129155136,0.04,0.221249912,0.766911726
32.582,22.676643999999996,0.4210770699398131,37.0,2.1276747871796573,2.1822007240398396,7.38,7.714941232660392,4.527,45.6,0.449810522,8.78,737.0,155.155484,20.493729000000002,0.3552604678260726,0.573,8.57,9.93,0.015928964099999998,1.8363816115303957,0.12621,4.11217422,4.6,6.6,0.57135267,6.52,1.0,4.762,5.2899975,10.751,0.702125,0.1188580132164695,1.709645172851126,0.16441517125,5.70806447055392,21.557574,5.77,0.6596841778641126,1061.586724,147.498714,0.78,0.14341,1.898
33.7975,42.928703999999996,0.6624267289473622,28.0,1.8689873439913927,2.5596874809241847,2.26,12.787771549143786,3.493113692,17.5,0.183017323,59.3,493.5,221.44122,12.201843265237871,0.779891018027519,0.034,8.18,10.37,0.36994373290000004,2.496917562454136,0.60823,20.556653425,4.93,6.16,2.1246165408851603,12.12,1.5,6.552,11.145,5.273206646,0.379,0.4751341953541399,1.5025459340189329,0.454545493,5.813561730987296,22.886880909984,2.945,3.98512296,1142.27100625,118.05851000537,0.41,0.741368275,0.22970229949999998
32.3025,19.7341095625,0.7201868478418133,75.0,1.705378657366158,2.0909700891645358,4.01,12.06361759751465,2.908316365,24.7,0.1268314,58.78,522.0,143.0363645625,8.458304078926814,0.6862433970538442,0.022,8.09,10.48,0.2217750649,2.135349173618132,0.47093,15.212216325000002,3.5,5.66,1.36961342576945,28.0,5.5,4.397125,7.46,4.4485827035,0.3875,0.3858948538112879,1.3631066840769837,0.474064194,5.683528833392156,9.604714795412502,3.065,1.5552463250000002,1043.4515062500002,93.94588938041251,1.48,0.88133226,0.816154811
32.244,19.7341095625,0.47857303801251544,22.0,1.5733081316131305,2.0909700891645358,2.91,12.681569702479534,2.475298477,14.8,0.087195914,57.05,798.0,143.0363645625,6.1271025502385195,0.6768382376905134,0.019,8.51,11.2,0.2098647721,1.9901553064338324,0.45811,14.77129884,3.61,4.3,1.13395898529847,4.62,1.0,4.397125,6.31667,5.17224708,0.4515,0.37714107655676055,1.2456803679900625,0.46041755,5.67838005068347,7.954371655839499,2.795,1.472136485,1039.675536,79.813524092388,0.09,0.86871756,0.88145216
38.3105,62.18111025,0.1654741693666648,41.0,1.5587933374889695,2.8081132455796722,8.79,19.227918181553108,2.429836669,52.6,0.144542091,13.3,182.5,302.09744775,5.904106238017016,0.312697937313312,0.013,9.24,12.16,0.009560928400000002,1.9631422484829995,0.09778,3.74600069,0.103689894,1.21,0.23758942949482004,14.75,1.5,7.8855,6.12167,14.6840834,0.409,0.09328995871300617,1.2325126416767112,0.194736895,6.189547640983143,19.160477053399504,2.435,0.7710441900000001,1467.69441025,93.0882577077245,0.007663725,0.259841565,1.533676534
34.27866667,123.81041670359889,0.4341368043067281,39.5,2.3127905222911997,3.3356774158852964,4.1,7.714941232660392,5.349,32.1,0.4333561,65.62,753.0,387.91236897121496,28.611801000000003,1.5248956368069135,0.589,9.03,16.05,5.418955290674999,4.350883208080301,2.3261475,77.8374335895675,7.08,8.89,12.85772689476165,3.34,0.5,11.12683333,76.5527775,12.321,0.411333333,1.2014606627108853,1.8482973201883128,0.557928155,5.854798602001609,68.702556,5.77,24.406464007218673,1175.0269886729689,183.35658801783,0.1,0.249728821,13.59825
34.542,123.81041670359889,0.5336598093564404,31.0,2.164486082191336,3.3356774158852964,5.52,8.608693749633561,4.685,33.1,0.456035898,86.91,735.5,387.91236897121496,21.949224999999995,1.5248956368069135,0.589,8.52,14.93,5.418955290674999,4.350883208080301,2.3261475,77.8374335895675,8.460678484,9.53722295525,11.778089999999999,2.76,1.5,11.12683333,76.5527775,8.779,0.184333333,1.2014606627108853,1.7378311272024993,0.9248777822500001,5.877244252198474,52.64222165105,4.523333333,24.406464007218673,1193.149764,161.82927,0.17,0.249716319,9.347
33.55533333,109.4255471808489,0.20025845671969966,24.5,1.9284708968506628,3.2342953900347444,2.15175,11.893419177488418,3.719,19.2,0.113169498,47.85,568.5,351.0111569658712,13.830960999999999,0.7752418977325722,0.022,8.42,12.64,0.361201,2.3846773911290153,0.601,20.166755331330002,6.11,7.34,2.2351189999999996,7.68,0.5,10.46066667,9.85556,18.571,0.017,0.4706284340145776,1.5515969127442504,0.714729327,5.792696550830192,38.90321934573,4.003333333,6.28686066867,1125.9603948874092,124.79228465427,0.48,0.550322663,5.321
33.57533333,116.08625870594888,0.28999762664952716,25.5,2.2187834504520714,3.2824279626520365,2.56,11.535683561015631,4.923,12.7,0.0864467545,51.49,550.5,361.75183296327884,24.235929,0.9284395510748128,0.022,8.15,12.39,0.7430439999999999,2.3393450887563962,0.862,28.94193733046,4.72,7.43,4.243626,6.26,0.5,10.77433333,9.37444,16.976,0.0,0.6216511788548753,1.778843077294828,0.61504735,5.794422605402543,53.042042983589994,4.25,9.28747533046,1127.303008220609,165.29136598359,1.5,0.444006108,10.111
