Turbidity,Chroma,pH,DO,electrical conductivity,UV254,COD,TOC,BOD,nitrate nitrogen,ammonia nitrogen,TN,phosphate,TP,Algal density（×10^5cells/ml),Specific growth rate,Total photosynthetic pigments,Dry cell weight,protein(%),polysaccharide(%),lipid(%),N(%),C(%),S(%),H(%),O(%),P(%),N conversion rate(%),P conversion rate(%),protein_polysaccharide_ratio,C_N_ratio,TN_TP_ratio,protein_H_interaction,protein_O_interaction,protein_Total photosynthetic pigments_interaction,H_O_interaction,H_Total photosynthetic pigments_interaction,O_Total photosynthetic pigments_interaction,protein(%)_squared,protein(%)_sqrt,H(%)_squared,H(%)_sqrt,O(%)_squared,O(%)_sqrt,Total photosynthetic pigments_squared,Total photosynthetic pigments_sqrt,Algal density（×10^5cells/ml)_log,Total photosynthetic pigments_log,protein(%)_log
11.1,58.0,9.487499999999999,16.317500000000003,488.0,0.104,28.9,6.55,9.0,0.82,0.088,1.6,0.195,0.216,27.3,0.305353949,0.37763,22.14,16.62071415,21.7234151175,0.341508551,2.61,44.635,0.636,7.8,37.5305,0.715917811,0.230525512,0.319669682,0.6588812019762668,17.10152601474099,7.407373114013361,129.64157037,623.7837124065751,6.276480284464501,292.7379,2.945514,14.172642715000002,276.24813885601026,4.076851009050981,60.839999999999996,2.792848008753788,1408.5384302500004,6.126214165371629,0.1426044169,0.61451606976547,3.342861804649192,0.3203646314576981,2.869075150333681
24.3,62.0,8.22,7.39,396.0,0.074,11.997499999999999,4.24,2.0,0.2,0.29,0.8025,0.018,0.025,9.1,0.091833195,0.16533,26.39,12.93316528,6.896085553,13.54468891,2.2375,34.6875,0.4065,9.655,40.17,0.42,0.265298955,0.812205177,1.8754354633750492,19.523698585900277,28.798848046078152,124.8697107784,519.5252492976,2.1382402157424,387.84135,1.59626115,6.6413061,167.2667641597975,3.596271024269445,93.21902499999999,3.1072495876578694,1613.6289000000002,6.33798075099633,0.0273340089,0.40660791925391715,2.312535423847214,0.15300430870918905,2.6342719895458444
17.8,45.0,8.85,12.09,179.375,0.083,11.997499999999999,4.16,1.5,1.12,0.056,1.64,0.006,0.01075,16.35,0.233617164,1.03161,32.14,17.602849415,13.04592685,2.427192887,3.23,46.015,0.636,7.8305,38.957,0.264165454,0.915768028,0.39460397,1.4335988367435282,14.246125620394544,163.98360163983602,145.06613218026627,704.6925419180425,12.85772689476165,305.0527885,8.078022104999999,40.18843077,310.2634777653235,4.194906193171436,61.31673025,2.798303057211638,1517.647849,6.241554293603477,1.0642191921,1.0156820368599613,2.8535925063928684,0.7088285821616239,2.922746806067063
28.0,75.625,8.91,12.71,433.0,0.078,23.1,5.27,9.5,0.34,0.067,0.83,0.00535,0.011,7.125,0.151840229,0.28175,8.59,14.60416652,10.84689534,3.569049226,2.2375,41.64,0.537,6.7635,36.0065,0.237880334,0.9248777822500001,0.21363108,1.3463912682694634,19.45793483274073,75.44768657394783,98.77528025801999,525.84492180238,4.11472391701,243.52996275,1.9056161249999999,10.144831375,213.2816797438889,3.8215398100765614,45.74493225,2.60067298982398,1296.4680422500003,6.000541642218643,0.0793830625,0.5308012810836086,2.094945728215801,0.2482263316816729,2.7475379632101298
8.35,54.5,9.487499999999999,11.34,179.375,0.116,27.9,7.15,14.0,3.33,0.11,3.72,0.013,0.02,12.5,0.178623692,0.51496,24.1,17.602849415,9.299525647,4.208456553,4.245,47.73,0.702125,7.563,40.5474166675,0.442024847,0.694726565,0.457324437,1.9205811688329901,11.243813605697618,169.4853763461212,144.60453602529,704.6925419180425,9.8460335675768,316.0842405,3.8946424799999995,21.521980759999998,310.2634777653235,4.194906193171436,57.198969,2.750090907588329,1644.140186429317,6.367662571024685,0.2651838016,0.7176071348586216,2.6026896854443837,0.4153890359725126,2.922746806067063
19.9,52.5,9.07,8.02,207.0,0.059,39.4,9.245,9.5,0.22,0.24,0.97,0.006,0.01075,6.465,0.14126473,0.13926,6.465,17.15088638,13.32659314,11.50799233,2.48,46.02,0.618,4.976,37.863,0.481760374,0.269515797,0.352419737,1.2869669624380111,18.556444130466076,96.99030096990302,85.34281062688,649.38401100594,2.3884324372787997,188.406288,0.69295776,5.27280138,294.1529036196695,4.141362865048172,24.760576,2.2306949589757896,1433.606769,6.153291801954463,0.0193933476,0.37317556190082973,2.0102254309911536,0.1303789288279613,2.89871939588204
5.1,41.5,8.31,7.48,508.0,0.074,19.6,4.72,12.0,0.68,0.056,1.43,0.00535,0.013,11.645,0.203863542,0.57801,24.55,16.97741161,11.01324306,13.12245895,2.81,48.005,0.612,7.26,39.7225,0.322269616,0.655195173,0.5660709,1.5415450268338102,17.083623813657006,109.99153911237597,123.2560082886,674.385232678225,9.8131136846961,288.38534999999996,4.1963526,22.960002225,288.2325049753628,4.1203654704406985,52.7076,2.694438717061496,1577.8770062499998,6.302578837269709,0.3340955601,0.760269688992005,2.537261880121928,0.45616455953921764,2.8891160592809926
27.4,75.625,8.17,7.56,427.0,0.08,27.8,5.31,14.0,0.9,0.76,2.38,0.008,0.024,13.75,0.238207472,0.73798,36.68,17.23625689,5.652056277,13.59825,2.83,38.67,0.583,9.503,40.422,0.144016372,0.454081565,0.792574894,1.9205811688329901,13.664306125686881,99.16253489437939,145.06613218026627,696.72397600758,12.7200128596822,384.13026599999995,7.01302394,29.830627559999996,297.0885515780725,4.1516571257752,90.30700900000001,3.0826936273330827,1633.9380839999997,6.357829818420748,0.5446144803999999,0.8590576232127854,2.691243082785829,0.5527235192971268,2.9034117492228013
13.07,62.0,9.25,16.317500000000003,567.0,0.1365,61.398404255,7.09,13.5,2.78,0.54,3.87,0.077,0.091,21.27778,0.262768986,0.73073,67.37,3.919407108,6.923528606,0.232392516,4.295,48.81,0.6905,8.0,33.384,0.166905207,0.6020498,0.388626887,0.5660995664123979,11.364374536816173,42.52700519774508,31.355256864,130.845486893472,2.86402835602884,267.072,5.84584,24.39469032,15.361752078240924,1.9797492538197863,64.0,2.8284271247461903,1114.491456,5.7778888878205334,0.5339663329,0.8548274679723389,3.103589769161023,0.5485432848252783,1.5931880167386596
20.7,43.5,8.13,9.15,329.0,0.08,17.9,3.28,1.0,4.27,0.08,4.56,0.026,0.038,15.28889,0.212188375,0.3374,50.16,4.878658994,6.071619504,1.33174205,4.315,49.465,0.5405,6.8205,33.013,0.156237169,0.574774075,0.805160899,0.8035184331408602,11.46349676396367,119.99684218836346,33.274893668577,161.059169368922,1.6460595445755999,225.1651665,2.3012367,11.138586199999999,23.801313579737094,2.2087686601362306,46.519220250000004,2.6116086996332357,1089.8581689999999,5.745694039887609,0.11383875999999998,0.5808614292583042,2.7904832803291533,0.2907274306377411,1.7713286736554892
