,Turbidity ,Chroma,pH ,DO,electrical conductivity,UV254,COD,TOC,BOD,nitrate nitrogen,ammonia nitrogen,TN,Nitrogen to phosphorus ratio,Organic carbon nitrogen ratio,Organic carbon to phosphorus ratio,Dissolved oxygen and nitrogen ratio,phosphate,TP,Algal density（×10^5cells/ml), Specific growth rate,Total photosynthetic pigments,Dry cell weight,protein(%),polysaccharide(%),N(%),C(%),H(%),O(%),P(%),N conversion rate(%),P conversion rate(%)
Turbidity ,1.0,0.7509486150652661,0.05037947797394319,-0.07224381736090783,-0.5761861458256717,-0.019444175377627965,0.031525267978469336,0.1416783840084611,0.32413901826248687,-0.5016701582834855,0.2034360211950917,-0.4527701902771519,0.3212882217086583,0.31462715547570436,0.37890030379005735,0.45462386993475723,-0.4085240320561051,-0.40087279878159093,-0.45624252931243053,-0.37471945355109115,-0.41663495219417046,-0.4066543830866667,0.46034035885239133,-0.2144834581645198,-0.5317898994938921,-0.2556339193894615,-0.6299520154911793,0.3439950722109214,-0.0406708786424228,-0.10413024433469681,0.27901744268445544
Chroma,0.7509486150652661,1.0,0.37650418620868437,0.06155711019621665,-0.4347730997027918,0.32579393738335355,0.2587511247397692,0.20954904094621568,0.6052492183899124,-0.557470361281704,0.36629907723445115,-0.47476594037382364,0.062065712929110686,0.29306723985029726,0.32660356128180296,0.4381565370870559,-0.11109252959774368,-0.11259311703111223,-0.22143347097902358,-0.08894092658760365,-0.29065523899092516,-0.3662797517414898,0.47648724178461876,-0.10159884146533439,-0.36545322398808533,-0.12970618553003876,-0.4934608431482745,0.4268952468681575,0.20519900968950325,-0.04713902655310592,0.04628474271901961
pH ,0.05037947797394319,0.37650418620868437,1.0,0.5519143892252995,-0.339934372051601,0.24051213511230757,0.6707102140557505,0.45239120245201714,0.3851001162653685,-0.4096386950905517,-0.16321576244334973,-0.3724582747767108,-0.10979683948388874,0.5102189702809736,0.2591954853070057,0.4717654994993444,0.006977827526167513,-0.011829806649990286,-0.06056009099567277,0.03231303868661526,-0.22981455704139023,-0.5020246138129009,0.2118204281859727,0.5796403123534724,-0.06830077299028005,0.5343456549013623,-0.08734259896323898,0.4328703337505794,0.3119991238360299,-0.11802373320587231,-0.5589949875537764
DO,-0.07224381736090783,0.06155711019621665,0.5519143892252995,1.0,0.06981711013602826,0.21631177636366075,0.4371549785404558,0.06375059551027122,-0.0366490107170342,0.18696239751241514,-0.30932652732712473,0.17947444770536627,-0.10340270904854235,0.1427948539588507,-0.01250091232195888,0.22937859199595123,0.03863067964432736,0.04067564966809703,0.12789312297400252,0.05753219772498391,0.09349834052980686,0.0007513168229053864,-0.0019548742072730664,0.34648307885420926,0.2870703308627356,0.23867353767353378,0.13272574491543077,0.0073737049005876895,0.03642075159535683,0.3504789648904297,-0.3947708863714402
electrical conductivity,-0.5761861458256717,-0.4347730997027918,-0.339934372051601,0.06981711013602826,1.0,0.05696833407664628,-0.18911575312142936,-0.3951551510741009,-0.29611956855371496,0.5948090499765741,0.026646498510941447,0.6104186695077006,-0.3328301462102821,-0.5326503175422239,-0.5529527200597558,-0.4680214320282503,0.4464829442373525,0.4605961553820575,0.5332314556329296,0.4628295953592589,0.48718687712234265,0.6142474065082452,-0.4140911970116566,-0.0387627662928311,0.4015076041142343,-0.15818928353163844,0.546477239268408,-0.5518556325149458,-0.02400620983558425,0.10906094869378348,-0.025152775234400637
UV254,-0.019444175377627965,0.32579393738335355,0.24051213511230757,0.21631177636366075,0.05696833407664628,1.0,0.28734673708798136,0.33405380314755595,0.2978616232837624,0.13624781564130956,0.06055537579167055,0.14356521353722337,-0.1172804540567197,-0.1248959451487204,0.022654774174079743,-0.042558067181982295,0.4109011079117308,0.38381149288194827,0.5041477494732939,0.4500667111707674,0.27824969735944505,0.24779845297658312,0.23286783341439457,-0.3600310782108736,0.4198805691071586,-0.011205566200278247,0.015750880619583466,0.024831385024671904,0.54935940905091,0.1965054877416536,-0.19735375422048024
COD,0.031525267978469336,0.2587511247397692,0.6707102140557505,0.4371549785404558,-0.18911575312142936,0.28734673708798136,1.0,0.6946809698559595,0.3512982396491634,-0.2687098489488859,0.04346732271050353,-0.19037343806495463,-0.2638884732731268,0.6772967213278421,0.2668637913291848,0.2669398335692008,0.11826444372124272,0.11443804142917659,0.06667808206340727,0.061223996424008775,-0.18641163875183964,-0.21098410101789838,-0.12333427538786985,0.32946510504432625,-0.032032568412920154,0.32501030244715384,-0.0966869752309242,0.23874335957508164,0.10849722275049249,-0.1780518225559116,-0.4562300687316906
TOC,0.1416783840084611,0.20954904094621568,0.45239120245201714,0.06375059551027122,-0.3951551510741009,0.33405380314755595,0.6946809698559595,1.0,0.5471626001930815,-0.31859709054524177,-0.09577471657849966,-0.2734289166256367,-0.20172501230419396,0.6674987331122668,0.4067334100606885,0.3928241317170217,0.1293932897695768,0.11564214668910877,0.16265760552994918,0.15429118215748044,-0.06239242078054524,-0.2581158900388939,0.21868733628026552,0.20657233211465525,-0.276787495629921,0.04387795526241308,-0.2074494868973001,0.45078517287599573,0.42199666452246654,-0.19938072384412692,-0.4810860046759089
BOD,0.32413901826248687,0.6052492183899124,0.3851001162653685,-0.0366490107170342,-0.29611956855371496,0.2978616232837624,0.3512982396491634,0.5471626001930815,1.0,-0.46661972241144967,0.11138420292044553,-0.4201356002738424,0.2195687045116335,0.3742263340739981,0.5990705884072728,0.33784773599170914,-0.18198090282421217,-0.19985118741251076,-0.1767204890169352,-0.013965140657664655,-0.15470128345212208,-0.3554936051086201,0.5833533219245443,0.04991326822435459,-0.35596982796223986,0.07651603101058972,-0.4320370109948733,0.4760002938911363,0.2563836860273855,-0.019747330629259978,-0.11476508722222269
nitrate nitrogen,-0.5016701582834855,-0.557470361281704,-0.4096386950905517,0.18696239751241514,0.5948090499765741,0.13624781564130956,-0.2687098489488859,-0.31859709054524177,-0.46661972241144967,1.0,-0.008151081816182912,0.974628314246601,-0.08514934044448048,-0.6814777569740021,-0.5575662261197709,-0.7534270455366967,0.41769317910863163,0.4423752293868501,0.5761754615964442,0.41700974827232656,0.5996893093160344,0.759190004304829,-0.42637361666734896,-0.33672087571604076,0.7681795510850907,-0.15004687055307891,0.47749543679031375,-0.6129568704447298,0.0013340343334574218,0.31782369700358376,-0.043353907200895096
